Week,Sales,Pricing,Distribution,Competition Discounts,Competition Online Impressions,TV GRP,Online Impressions,Promotions,Discounts
7/1/2017,"30,503","$1,067 ",48,1.12%,105.68,0,22.82 M,27,6.93%
7/8/2017,"27,037","$1,068 ",47,4.33%,0,0,0.00 M,5,8.55%
7/15/2017,"30,646","$1,038 ",42,1.89%,0,0,0.00 M,6,9.64%
7/22/2017,"40,887",$954 ,35,1.10%,0,0,0.00 M,6,13.75%
7/29/2017,"48,947",$912 ,31,4.56%,0,0,0.00 M,10,16.57%
8/5/2017,"37,910","$1,010 ",38,3.64%,66.62,100,127.65 M,12,11.15%
8/12/2017,"40,436","$1,007 ",37,1.66%,124.18,93,125.34 M,8,11.42%
8/19/2017,"49,343",$994 ,33,2.50%,96.87,95,150.62 M,10,12.90%
8/26/2017,"32,371","$1,078 ",39,5.08%,109.01,90,206.28 M,11,7.24%
9/2/2017,"28,665","$1,060 ",40,1.10%,115.16,12,595.09 M,2,7.20%
9/9/2017,"29,079","$1,061 ",42,0.00%,157.02,17,284.73 M,13,6.35%
9/16/2017,"22,794","$1,098 ",41,0.15%,145.53,11,46.09 M,7,5.74%
9/23/2017,"26,607","$1,048 ",36,0.02%,105.84,0,13.62 M,10,8.91%
9/30/2017,"21,153","$1,100 ",39,0.00%,118.05,0,36.95 M,11,5.99%
10/7/2017,"20,704","$1,092 ",42,0.00%,62.06,0,16.33 M,10,6.49%
10/14/2017,"19,364","$1,082 ",44,2.10%,73.75,0,13.50 M,11,4.94%
10/21/2017,"25,881","$1,050 ",53,3.13%,115.28,0,4.19 M,17,6.51%
10/28/2017,"25,903","$1,018 ",46,2.30%,78.39,0,5.77 M,11,8.96%
11/4/2017,"42,168",$996 ,54,1.08%,78.04,0,8.84 M,37,10.43%
11/11/2017,"36,524","$1,002 ",57,7.11%,90.22,0,11.58 M,18,10.29%
11/18/2017,"35,647","$1,014 ",55,7.44%,145.45,0,20.57 M,21,9.39%
11/25/2017,"98,776",$948 ,41,16.57%,180.83,128,167.81 M,10,13.89%
12/2/2017,"110,717",$935 ,52,5.62%,165.39,115,215.72 M,29,13.26%
12/9/2017,"43,575","$1,039 ",56,0.00%,155.02,106,255.36 M,17,8.71%
12/16/2017,"55,115","$1,000 ",52,5.19%,176.43,94,373.02 M,30,9.61%
12/23/2017,"82,843",$961 ,40,4.87%,164.09,16,424.45 M,40,11.40%
12/30/2017,"38,610","$1,072 ",53,2.07%,143.84,0,173.51 M,30,6.75%
